,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp)
0,Mumbai,2010,72000,CNG,Manual,First,5,,1.75,MARUTI,26.6,998,58.16
1,Pune,2015,41000,Diesel,Manual,First,5,,12.5,HYUNDAI,19.67,1582,126.2
2,Chennai,2011,46000,Petrol,Manual,First,5,8.61 Lakh,4.5,HONDA,18.2,1199,88.7
3,Chennai,2012,87000,Diesel,Manual,First,7,,6,MARUTI,20.77,1248,88.76
4,Coimbatore,2013,40670,Diesel,Automatic,Second,5,,17.74,AUDI,15.2,1968,140.8
5,Hyderabad,2012,75000,LPG,Manual,First,5,,2.35,HYUNDAI,21.1,814,55.2
6,Jaipur,2013,86999,Diesel,Manual,First,5,,3.5,NISSAN,23.08,1461,63.1
7,Mumbai,2016,36000,Diesel,Automatic,First,8,21 Lakh,17.5,TOYOTA,11.36,2755,171.5
8,Pune,2013,64430,Diesel,Manual,First,5,,5.2,VOLKSWAGEN,20.54,1598,103.6
9,Chennai,2012,65932,Diesel,Manual,Second,5,,1.95,TATA,22.3,1248,74
10,Kochi,2018,25692,Petrol,Manual,First,5,10.65 Lakh,9.95,MARUTI,21.56,1462,103.25
11,Kolkata,2012,60000,Petrol,Automatic,First,5,,4.49,HONDA,16.8,1497,116.3
12,Jaipur,2015,64424,Diesel,Manual,First,5,,5.6,MARUTI,25.2,1248,74
13,Delhi,2014,72000,Diesel,Automatic,First,5,,27,LAND,12.7,2179,187.7
14,Pune,2012,85000,Diesel,Automatic,Second,5,,17.5,LAND,0,2179,115
15,Delhi,2014,110000,Diesel,Manual,First,7,32.01 Lakh,15,MITSUBISHI,13.5,2477,175.56
16,Kochi,2016,58950,Diesel,Manual,First,5,,5.4,HONDA,25.8,1498,98.6
17,Jaipur,2017,25000,Diesel,Manual,First,5,,5.99,MARUTI,28.4,1248,74
18,Kochi,2014,77469,Diesel,Manual,First,5,,6.34,RENAULT,20.45,1461,83.8
19,Bangalore,2014,78500,Diesel,Automatic,First,5,,28,MERCEDES-BENZ,14.84,2143,167.62
20,Kochi,2014,32982,Diesel,Automatic,First,5,47.87 Lakh,18.55,BMW,22.69,1995,190
21,Bangalore,2015,55392,Diesel,Manual,Second,5,,8.25,MARUTI,23.65,1248,88.5
22,Mumbai,2015,55985,Petrol,Automatic,First,5,,23.5,AUDI,13.53,1984,177.01
23,Kolkata,2010,45807,Petrol,Manual,First,5,,1.87,HYUNDAI,18.5,1197,80
24,Kolkata,2010,33000,Petrol,Automatic,First,5,,2.85,VOLKSWAGEN,14.4,1598,103.6
25,Mumbai,2012,51920,Petrol,Manual,First,5,,4.25,HONDA,16.8,1497,116.3
26,Hyderabad,2012,54000,Diesel,Manual,First,5,,4.25,NISSAN,23.08,1461,63.1
27,Hyderabad,2013,54000,Petrol,Manual,Second,5,,2.75,MARUTI,20.92,998,67.1
28,Kochi,2018,37430,Petrol,Manual,First,5,10.57 Lakh,9.9,HONDA,17.5,1199,88.7
29,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7,,4,TOYOTA,12.8,2494,102
30,Bangalore,2013,62000,Diesel,Manual,First,5,,7.75,RENAULT,19.01,1461,108.45
31,Delhi,2012,87615,Petrol,Manual,First,5,,6.75,TOYOTA,14.53,1798,138.1
32,Bangalore,2013,72000,Diesel,Automatic,Second,7,,12.5,MAHINDRA,11.18,2696,184
33,Kolkata,2010,35000,Diesel,Automatic,First,5,,11.5,AUDI,12.4,2698,179.5
34,Coimbatore,2014,55431,Petrol,Manual,Second,5,12.33 Lakh,6.98,VOLKSWAGEN,16.09,1598,103.5
35,Jaipur,2009,83816,Petrol,Manual,Second,5,,1.85,MARUTI,14,1061,64
36,Kochi,2018,50075,Diesel,Manual,First,5,11.12 Lakh,8.63,MARUTI,24.3,1248,88.5
37,Delhi,2017,52000,Petrol,Manual,First,5,,4.85,MAHINDRA,18.15,1198,82
38,Pune,2013,85000,Diesel,Automatic,First,5,,28,MERCEDES-BENZ,11.74,2987,254.8
39,Chennai,2013,62000,Diesel,Manual,First,5,,5,VOLKSWAGEN,22.07,1199,73.9
40,Delhi,2008,90000,Petrol,Manual,Second,5,,1.25,MARUTI,19.7,796,46.3
41,Kochi,2014,19698,Petrol,Manual,First,4,,1.53,TATA,25.4,624,37.5
42,Coimbatore,2017,22033,Diesel,Manual,First,6,,5.58,MAHINDRA,25.32,1198,77
43,Kochi,2014,35487,Petrol,Manual,First,5,,4.74,HYUNDAI,18.5,1197,82.9
44,Bangalore,2014,46374,Petrol,Automatic,First,5,23.64 Lakh,8.85,HYUNDAI,14.62,1999,149.92
45,Mumbai,2016,52001,Petrol,Automatic,First,5,,10.11,TOYOTA,14.28,1798,138.03
46,Ahmedabad,2008,58005,Diesel,Manual,Second,5,,4.25,HYUNDAI,14.9,1991,112.2
47,Bangalore,2012,70704,Petrol,Manual,First,7,18.64 Lakh,10.95,TOYOTA,11.25,2694,163.7
48,Jaipur,2014,75000,Diesel,Manual,First,5,,3.85,HYUNDAI,24.4,1120,71
49,Jaipur,2012,75800,Diesel,Manual,Second,6,,5.5,MAHINDRA,16.55,2498,105
50,Kochi,2015,13648,Diesel,Automatic,First,5,,21.43,AUDI,17.11,1968,174.33
51,Delhi,2014,52000,Diesel,Manual,First,5,,4.25,MARUTI,22.9,1248,74
52,Kolkata,2014,53000,Diesel,Manual,First,5,,3.3,MARUTI,17.8,1248,75
